season,Team,team_id,conference,bracket_region,make_tournament,round,max_player,seed_tournament,champion_share,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,MOV,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,AdjTempo,AdjOE,AdjDE,AdjEM,AP_Pre 1,AP_Week 2,AP_Week 3,AP_Week 4,AP_Week 5,AP_Week 6,AP_Week 7,AP_Week 8,AP_Week 9,AP_Week 10,AP_Week 11,AP_Week 12,AP_Week 13,AP_Week 14,AP_Week 15,AP_Week 16,AP_Week 17,AP_Week 18,champion,sum_school_champion_shares,sum_school_champions,sum_school_finals,sum_school_final_fours,sum_school_elite_eights,sum_school_L1S_cs,sum_school_L3S_cs,sum_school_L5S_cs,sum_school_L8S_cs,avg_ap_poll_rank_Pre_18,make_all_ap_polls,top_12_AP_Week 6,team_rating_custom,max_player_rating_custom,sum_player_champion_shares,sum_player_champions,sum_mm_tour_games,sum_cf_tour_games,sum_crs_games,sum_player_L1S_cs,sum_player_L3S_cs,sum_player_L5S_cs,sum_player_L8S_cs,bracket_region_rating,conference_rating,sum_coach_mm_tour_games,sum_coach_L1S_cs,sum_coach_L3S_cs,sum_coach_L5S_cs,sum_coach_L8S_cs,sum_conf_L1S_cs,sum_conf_L3S_cs,sum_conf_L5S_cs,sum_conf_L8S_cs,top_4_seed
2024,UConn,321,Big East,east,True,Champion ,Cam Spencer,1,1.0,6.0,6.0,19.0,7.0,17.0,5.0,10.0,56.0,39.0,4.0,6.0,4.0,2.0,7.0,3.0,37.0,49.0,3.0,55.0,13.0,12.0,35.0,5.0,14.0,17.0,20.0,36.0,34.0,34.0,26.0,26.0,27.0,7.0,43.0,4.0,56.0,32.0,29.0,1.0,4.0,10.0,1.0,32.0,8.0,16.0,4.0,1.0,10.0,2.0,14.0,35.0,2.0,59.0,6.0,54.0,1.0,9.0,1.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,7.0,1.0,10.0,4.0,12.0,1.0,5.0,11.0,14.0,2.0,1.0,1.0,2.0,4.0,9.0,1.0,14.0,46.0,48.0,3.0,9.0,9.0,9.0,17.0,9.0,13.0,1.0,5.0,7.0,9.0,32.0,51.0,48.0,44.0,1
2024,Purdue,238,Big Ten,midwest,True,Finals,Zach Edey,1,0.833333333,4.0,5.0,4.0,8.0,13.0,4.0,3.0,35.0,53.0,19.0,1.0,1.0,1.0,26.0,6.0,34.0,20.0,23.0,22.0,5.0,10.0,32.0,4.0,12.0,38.0,2.0,4.0,4.0,25.0,18.0,4.0,4.0,1.0,50.0,14.0,30.0,62.0,4.0,27.0,4.0,2.0,1.0,32.0,30.0,20.0,5.0,1.0,3.0,4.0,45.0,3.0,3.0,59.0,2.0,29.0,4.0,14.0,3.0,3.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,0.0,13.0,8.0,10.0,16.0,12.0,20.0,22.0,10.0,12.0,1.0,1.0,1.0,1.0,1.0,22.0,3.0,26.0,19.0,23.0,24.0,22.0,22.0,22.0,1.0,12.0,9.0,20.0,20.0,8.0,8.0,32.0,28.0,17.0,24.0,1
2024,NC State,189,ACC,south,True,Final Four,D.J. Horne,11,0.666666667,55.0,53.0,55.0,40.0,59.0,58.0,57.0,59.0,27.0,46.0,49.0,54.0,47.0,54.0,54.0,19.0,41.0,3.0,22.0,45.0,40.0,18.0,52.0,43.0,39.0,52.0,51.0,46.0,54.0,26.0,49.0,37.0,55.0,30.0,44.0,54.0,30.0,60.0,9.0,4.0,10.0,1.0,50.0,15.0,56.0,53.0,1.0,57.0,35.0,9.0,54.0,60.0,2.0,56.0,22.0,36.0,44.0,44.0,22.0,22.0,22.0,23.0,24.0,23.0,22.0,22.0,22.0,24.0,23.0,24.0,25.0,26.0,23.0,26.0,25.0,25.0,0.0,26.0,8.0,10.0,16.0,23.0,20.0,31.0,34.0,31.0,40.0,0.0,0.0,56.0,53.0,32.0,3.0,44.0,16.0,4.0,24.0,32.0,32.0,32.0,49.0,26.0,32.0,20.0,31.0,35.0,37.0,32.0,28.0,43.0,27.0,0
2024,Alabama,4,SEC,west,True,Final Four,Mark Sears,4,0.666666667,6.0,10.0,7.0,14.0,57.0,28.0,39.0,28.0,28.0,27.0,1.0,7.0,5.0,61.0,20.0,5.0,6.0,23.0,22.0,1.0,6.0,7.0,27.0,1.0,3.0,13.0,6.0,12.0,2.0,8.0,23.0,11.0,18.0,17.0,16.0,14.0,2.0,49.0,9.0,4.0,10.0,1.0,32.0,15.0,6.0,16.0,1.0,39.0,33.0,19.0,13.0,39.0,18.0,50.0,3.0,2.0,53.0,13.0,20.0,18.0,16.0,21.0,24.0,23.0,22.0,22.0,22.0,24.0,23.0,24.0,23.0,16.0,15.0,13.0,14.0,16.0,0.0,25.0,8.0,10.0,16.0,12.0,7.0,12.0,15.0,20.0,21.0,0.0,0.0,22.0,13.0,20.0,3.0,21.0,6.0,26.0,15.0,20.0,20.0,20.0,33.0,18.0,20.0,7.0,10.0,9.0,11.0,8.0,18.0,25.0,22.0,1
2024,Tennessee,293,SEC,midwest,True,Elite Eight,Dalton Knecht,2,0.5,33.0,39.0,22.0,22.0,53.0,26.0,5.0,45.0,17.0,5.0,30.0,11.0,17.0,13.0,13.0,27.0,24.0,23.0,44.0,19.0,34.0,18.0,44.0,15.0,13.0,30.0,15.0,22.0,9.0,13.0,17.0,14.0,11.0,16.0,9.0,40.0,21.0,19.0,9.0,1.0,10.0,1.0,32.0,4.0,37.0,14.0,1.0,5.0,12.0,9.0,21.0,8.0,47.0,11.0,15.0,24.0,3.0,7.0,9.0,7.0,7.0,9.0,16.0,11.0,7.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,8.0,5.0,4.0,4.0,0.0,15.0,8.0,10.0,16.0,12.0,7.0,13.0,11.0,17.0,6.0,1.0,1.0,7.0,2.0,10.0,3.0,9.0,9.0,5.0,7.0,10.0,10.0,10.0,1.0,18.0,5.0,7.0,11.0,9.0,11.0,8.0,22.0,18.0,21.0,1
2024,Clemson,53,ACC,west,True,Elite Eight,P.J. Hall,6,0.5,13.0,17.0,6.0,49.0,4.0,20.0,33.0,35.0,62.0,18.0,17.0,27.0,19.0,52.0,37.0,18.0,32.0,3.0,36.0,29.0,25.0,29.0,21.0,17.0,22.0,16.0,42.0,50.0,1.0,50.0,8.0,24.0,27.0,62.0,21.0,38.0,39.0,19.0,9.0,4.0,10.0,1.0,32.0,30.0,29.0,38.0,1.0,33.0,28.0,59.0,38.0,39.0,12.0,36.0,43.0,23.0,35.0,32.0,22.0,22.0,22.0,23.0,22.0,12.0,17.0,17.0,14.0,19.0,23.0,24.0,25.0,26.0,23.0,26.0,25.0,25.0,0.0,42.0,8.0,10.0,16.0,23.0,20.0,31.0,26.0,31.0,26.0,0.0,0.0,41.0,42.0,27.0,3.0,39.0,40.0,42.0,24.0,27.0,27.0,27.0,33.0,26.0,23.0,20.0,31.0,23.0,26.0,32.0,28.0,44.0,44.0,0
2024,Duke,73,ACC,south,True,Elite Eight,Kyle Filipowski,4,0.5,12.0,15.0,14.0,45.0,36.0,40.0,31.0,44.0,33.0,33.0,17.0,24.0,10.0,36.0,15.0,49.0,33.0,23.0,56.0,28.0,30.0,45.0,17.0,29.0,41.0,9.0,22.0,28.0,19.0,48.0,39.0,46.0,28.0,35.0,27.0,48.0,38.0,24.0,27.0,4.0,10.0,1.0,50.0,15.0,40.0,15.0,1.0,31.0,18.0,19.0,19.0,24.0,39.0,28.0,36.0,7.0,17.0,8.0,2.0,9.0,9.0,7.0,20.0,20.0,20.0,15.0,13.0,11.0,7.0,11.0,7.0,9.0,9.0,8.0,10.0,9.0,0.0,3.0,3.0,10.0,2.0,5.0,11.0,7.0,4.0,4.0,9.0,1.0,0.0,9.0,18.0,13.0,3.0,22.0,33.0,55.0,13.0,13.0,13.0,13.0,49.0,26.0,44.0,11.0,24.0,28.0,30.0,14.0,2.0,5.0,5.0,1
2024,Illinois,119,Big Ten,east,True,Elite Eight,"Terrence Shannon, Jr.",3,0.5,22.0,32.0,23.0,17.0,27.0,13.0,62.0,35.0,63.0,49.0,6.0,31.0,15.0,56.0,32.0,21.0,16.0,23.0,29.0,12.0,26.0,21.0,35.0,20.0,15.0,41.0,9.0,10.0,11.0,15.0,13.0,9.0,58.0,63.0,30.0,28.0,53.0,8.0,9.0,4.0,10.0,1.0,11.0,15.0,15.0,31.0,1.0,62.0,50.0,63.0,6.0,27.0,29.0,34.0,10.0,2.0,47.0,10.0,21.0,19.0,22.0,22.0,18.0,15.0,12.0,11.0,9.0,9.0,13.0,10.0,14.0,10.0,14.0,12.0,13.0,12.0,0.0,18.0,8.0,4.0,16.0,23.0,20.0,17.0,22.0,28.0,13.0,0.0,0.0,16.0,17.0,19.0,3.0,10.0,27.0,15.0,24.0,19.0,19.0,19.0,17.0,12.0,16.0,20.0,15.0,19.0,21.0,32.0,24.0,27.0,30.0,1
2024,San Diego State,257,MWC,east,True,Sweet Sixteen,Jaedon LeDee,5,0.333333333,53.0,54.0,54.0,36.0,25.0,30.0,48.0,14.0,16.0,21.0,30.0,57.0,56.0,10.0,43.0,45.0,36.0,23.0,29.0,56.0,57.0,44.0,56.0,44.0,29.0,61.0,36.0,37.0,31.0,37.0,33.0,34.0,55.0,20.0,31.0,21.0,14.0,29.0,27.0,4.0,10.0,1.0,50.0,30.0,63.0,45.0,1.0,48.0,59.0,35.0,32.0,39.0,18.0,42.0,44.0,45.0,7.0,21.0,15.0,22.0,22.0,23.0,23.0,23.0,22.0,22.0,22.0,17.0,23.0,24.0,25.0,24.0,23.0,19.0,20.0,21.0,0.0,20.0,8.0,4.0,16.0,23.0,2.0,8.0,15.0,17.0,29.0,0.0,0.0,46.0,29.0,2.0,3.0,3.0,5.0,17.0,2.0,2.0,2.0,2.0,17.0,30.0,16.0,2.0,7.0,13.0,15.0,1.0,13.0,18.0,22.0,0
2024,Marquette,160,Big East,south,True,Sweet Sixteen,Tyler Kolek,2,0.333333333,15.0,13.0,30.0,56.0,61.0,63.0,28.0,38.0,8.0,40.0,17.0,21.0,23.0,33.0,21.0,31.0,21.0,23.0,56.0,27.0,14.0,21.0,16.0,10.0,9.0,22.0,57.0,57.0,45.0,54.0,50.0,58.0,18.0,10.0,51.0,38.0,53.0,35.0,27.0,4.0,10.0,1.0,18.0,30.0,26.0,24.0,1.0,28.0,18.0,6.0,57.0,24.0,39.0,22.0,18.0,19.0,12.0,12.0,5.0,4.0,4.0,3.0,8.0,7.0,6.0,10.0,7.0,10.0,15.0,13.0,9.0,7.0,4.0,7.0,5.0,8.0,0.0,16.0,8.0,10.0,4.0,12.0,11.0,26.0,31.0,34.0,7.0,1.0,1.0,10.0,8.0,16.0,3.0,19.0,19.0,25.0,11.0,16.0,16.0,16.0,49.0,9.0,9.0,11.0,24.0,28.0,30.0,14.0,34.0,48.0,26.0,1
