season,Team,team_id,conference,bracket_region,make_tournament,round,max_player,seed_tournament,champion_share,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,MOV,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,AdjTempo,AdjOE,AdjDE,AdjEM,AP_Pre 1,AP_Week 2,AP_Week 3,AP_Week 4,AP_Week 5,AP_Week 6,AP_Week 7,AP_Week 8,AP_Week 9,AP_Week 10,AP_Week 11,AP_Week 12,AP_Week 13,AP_Week 14,AP_Week 15,AP_Week 16,AP_Week 17,AP_Week 18,champion,sum_school_champion_shares,sum_school_champions,sum_school_finals,sum_school_final_fours,sum_school_elite_eights,sum_school_L1S_cs,sum_school_L3S_cs,sum_school_L5S_cs,sum_school_L8S_cs,avg_ap_poll_rank_Pre_18,make_all_ap_polls,top_12_AP_Week 6,team_rating_custom,max_player_rating_custom,sum_player_champion_shares,sum_player_champions,sum_mm_tour_games,sum_cf_tour_games,sum_crs_games,sum_player_L1S_cs,sum_player_L3S_cs,sum_player_L5S_cs,sum_player_L8S_cs,bracket_region_rating,conference_rating,sum_coach_mm_tour_games,sum_coach_L1S_cs,sum_coach_L3S_cs,sum_coach_L5S_cs,sum_coach_L8S_cs,sum_conf_L1S_cs,sum_conf_L3S_cs,sum_conf_L5S_cs,sum_conf_L8S_cs,top_4_seed,ap_sos,ap_weighted_score,sum_under_12_ap_games,under_12_ap_rec,rank_team_rating_custom,rank_AdjEM,rank_AdjOE,top_8_team_rating_custom,top_6_AdjEM,top_6_AdjOE
2025,Vanderbilt,337,SEC,east,True,0,Devin McGlockton,10,0.0,0.5645,0.5275,154.35000000000002,31.5,74.05,51.8,51.2,11.35,13.35,12.350000000000001,1.2999999999999998,66.15,114.9,101.25,13.7,730.2,71.6,14.0,40.05,82.85,29.0,63.05,0.4595,8.65,26.0,0.332,16.15,21.5,0.752,10.7,23.15,33.849999999999994,14.95,9.6,4.25,9.4,17.55,6,0,0,0,0,0,0,97,-5.8,0,1.485,1.2,0.8,0.243,8,10,0.444,69.4,117.9,101.8,16.16,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,24.0,26.0,26.0,26.0,26.0,26.0,0,0.833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.88888888888889,0,0,-9.71388888888889,-2.841666666666665,0.666666667,0.0,17.0,26.0,270.0,0.166666667,0.666666667,0.666666667,0.666666667,9.687610877684406,5.152334449404763,2.0,0.166666667,0.166666667,0.166666667,0.166666667,0.0,0.166666667,0.166666667,0.833333333,0,18.812865497076025,49.453216374269005,6.0,0.16666666666666666,68.0,45.0,28.0,0,0,0
2025,Texas A&M,298,SEC,south,True,0,Pharrel Payne,4,0.0,0.5275000000000001,0.489,144.15,42.8,74.9,58.35,50.15,14.65,12.149999999999999,14.5,1.25,57.7,109.3,94.75,14.5,675.8,67.9,14.0,40.0,74.2,25.3,58.95,0.429,7.05,21.950000000000003,0.32199999999999995,16.55,23.95,0.69,14.149999999999999,23.75,37.9,12.75,8.2,4.2,12.05,16.6,5,0,0,0,0,0,0,88,1.8,0,1.455,1.0,0.6,0.287,11,7,0.611,66.1,116.2,92.1,24.08,13.0,23.0,23.0,20.0,22.0,17.0,12.0,13.0,13.0,10.0,11.0,13.0,13.0,10.0,8.0,7.0,12.0,22.0,0,1.833333334,0.0,0.0,0.0,0.0,0.166666667,0.166666667,0.166666667,0.833333333,14.555555555555555,1,0,5.272222222222222,13.533333333333337,1.000000002,0.0,26.0,40.0,298.0,1.000000002,1.000000002,1.000000002,1.000000002,13.269157848324516,5.152334449404763,12.0,0.166666667,0.166666667,0.5,0.5,0.166666667,0.5,0.833333333,1.6666666659999998,1,18.91812865497076,43.50292397660819,6.0,0.16666666666666666,48.0,17.0,36.0,0,0,0
2025,BYU,30,Big 12,east,True,0,Richie Saunders,6,0.0,0.5994999999999999,0.5825,154.95,33.1,79.95,57.2,58.55,13.6,11.0,11.85,1.4,69.4,118.5,96.0,22.5,630.5,69.15,14.5,40.35,83.1,30.1,60.85,0.4945,10.8,28.9,0.373,12.2,17.799999999999997,0.6819999999999999,9.9,25.05,34.95,17.6,7.65,3.45,10.9,15.05,3,0,0,0,0,0,1,96,6.0,0,1.597,1.4,0.6,0.219,14,6,0.7,67.2,123.0,100.6,22.39,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,25.0,23.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.77777777777778,0,0,3.2249999999999983,21.79166666666667,0.0,0.0,16.0,31.0,240.0,0.0,0.0,0.0,0.0,9.687610877684406,1.3317187500000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.77777777777778,50.666666666666664,2.0,0.5,56.0,24.0,11.0,0,0,0
2025,UC San Diego,317,Big West,south,True,0,Aniwaniwa Tait-Jones,12,0.0,0.59,0.56,158.60000000000002,25.799999999999997,76.4,50.599999999999994,58.1,11.0,15.7,6.5,1.35,67.25,117.5,89.05,28.45,699.7,69.0,15.0,40.0,81.0,27.95,59.75,0.4675,11.1,30.3,0.366,14.1,18.75,0.752,8.2,23.299999999999997,31.5,16.25,10.85,1.95,8.5,16.25,5,0,0,0,0,6,0,100,18.2,0,1.577,2.0,1.2,0.24,18,2,0.9,65.6,115.2,96.5,18.77,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0,0,23.7,44.94999999999999,0.0,0.0,4.0,4.0,92.0,0.0,0.0,0.0,0.0,13.269157848324516,-1.9312860750360743,0.0,0.0,0.0,0.0,0.0,0.166666667,0.166666667,0.166666667,0.500000001,0,0.0,0.0,0.0,0.0,7.0,36.0,43.0,1,0,0
2025,Illinois,119,Big Ten,midwest,True,0,Kasparas Jakucionis,6,0.0,0.5645,0.5255000000000001,151.95,34.95,75.65,56.4,51.8,12.95,6.449999999999999,9.8,1.35,65.65,114.25,97.94999999999999,16.35,813.7,73.25,15.5,40.3,84.35,28.700000000000003,63.7,0.4505,9.6,30.549999999999997,0.313,17.4,23.15,0.7555000000000001,11.9,28.7,40.6,14.85,4.75,4.35,11.100000000000001,16.15,12,0,0,0,0,1,0,109,5.5,0,1.515,1.3,0.3,0.231,12,8,0.6,71.3,121.6,98.1,23.56,26.0,26.0,25.0,26.0,19.0,26.0,26.0,24.0,22.0,13.0,19.0,17.0,18.0,23.0,26.0,26.0,26.0,26.0,0,2.666666668,0.0,1.0,0.0,1.0,0.5,0.666666667,0.833333334,0.833333334,23.0,0,0,8.484375000000002,15.25,0.333333333,0.0,5.0,9.0,89.0,0.333333333,0.333333333,0.333333333,0.333333333,11.06452205882353,1.0730434303350984,6.0,0.5,0.666666667,0.666666667,0.666666667,0.5,0.666666667,1.000000001,1.166666668,0,23.31216931216931,49.68518518518518,2.0,0.0,38.0,20.0,15.0,0,0,0
2025,Baylor,20,Big 12,east,True,0,Norchad Omier,9,0.0,0.5680000000000001,0.5375,155.6,36.5,71.55,53.8,54.95,13.5,12.100000000000001,9.2,1.2999999999999998,63.85,116.19999999999999,98.55,17.65,630.2,67.8,14.5,40.35,79.75,28.549999999999997,61.1,0.4645,8.95,24.9,0.359,13.8,18.75,0.7335,12.05,22.8,34.85,15.8,8.3,3.1,10.9,16.0,15,0,0,0,0,1,0,91,2.0,0,1.528,1.2,0.6,0.26,10,10,0.5,64.5,120.8,99.7,21.15,8.0,12.0,13.0,17.0,15.0,26.0,26.0,25.0,25.0,26.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,0,3.3333333339999998,1.0,0.0,0.0,2.0,0.166666667,0.500000001,1.666666668,2.000000001,22.22222222222222,0,0,5.136904761904765,19.40833333333334,2.333333335,0.0,23.0,26.0,254.0,0.833333334,2.333333335,2.333333335,2.333333335,9.687610877684406,1.3317187500000003,25.0,0.166666667,0.500000001,1.666666668,2.000000001,0.166666667,0.500000001,1.666666668,2.000000001,0,21.05291005291005,49.51587301587301,5.0,0.2,49.0,29.0,16.0,0,0,0
2025,Clemson,53,ACC,midwest,True,0,Ian Schieffelin,5,0.0,0.569,0.5385,159.2,33.25,71.25,52.599999999999994,52.2,12.5,11.45,10.95,1.3,61.15,115.25,99.95,15.350000000000001,565.7,66.2,14.0,40.9,78.55000000000001,28.35,60.9,0.46599999999999997,8.8,23.85,0.3685,13.100000000000001,17.299999999999997,0.7575000000000001,10.35,22.9,33.2,14.8,7.7,3.75,9.9,15.450000000000001,14,0,0,0,0,4,2,86,11.2,0,1.54,1.6,0.8,0.201,18,2,0.9,64.2,118.7,94.7,23.93,26.0,26.0,26.0,26.0,26.0,16.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,23.0,18.0,13.0,11.0,0,0.833333333,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.833333333,23.22222222222222,0,0,17.24166666666667,24.40833333333334,2.0,0.0,20.0,20.0,225.0,2.0,2.0,2.0,2.0,11.06452205882353,-0.21560185185185107,9.0,0.5,0.5,0.5,0.833333333,0.5,0.833333333,0.833333333,0.833333333,0,24.533333333333335,48.38333333333333,1.0,1.0,18.0,18.0,22.0,0,0,0
2025,Troy,310,Sun Belt,midwest,True,0,Tayton Conerway,14,0.0,0.536,0.499,143.5,40.15,69.2,54.8,55.8,16.7,13.85,12.6,1.3,58.25,106.15,94.85,11.3,712.8,68.75,14.0,39.95,72.9,25.3,58.05,0.435,7.4,25.75,0.2845,14.95,20.9,0.715,13.2,23.200000000000003,36.400000000000006,14.1,9.55,4.65,13.7,17.049999999999997,9,0,0,0,0,5,0,87,8.3,0,1.584,1.2,0.8,0.26,13,5,0.722,66.3,107.7,100.8,6.88,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0,0,7.174999999999999,28.375,0.0,0.0,0.0,5.0,84.0,0.0,0.0,0.0,0.0,11.06452205882353,-0.8249149659863942,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26.0,52.0,0.0,0.0,44.0,55.0,60.0,0,0,0
2025,Texas,297,SEC,midwest,True,0,Tre Johnson,11,0.0,0.579,0.5449999999999999,159.3,30.7,73.85,52.650000000000006,48.45,11.850000000000001,9.100000000000001,11.8,1.35,62.400000000000006,115.80000000000001,100.75,15.05,754.2,69.05,14.5,40.099999999999994,80.4,28.200000000000003,59.2,0.47650000000000003,8.15,21.55,0.3775,15.9,21.549999999999997,0.739,9.85,24.75,34.6,13.75,6.35,4.35,9.35,17.9,7,0,0,0,0,0,1,89,-4.7,0,1.457,1.1,0.6,0.267,6,12,0.333,67.4,116.7,99.5,17.15,19.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,0,3.500000002,0.0,0.0,1.0,3.0,0.166666667,0.833333334,0.833333334,0.833333334,25.61111111111111,0,0,-5.9797619047619035,9.11666666666666,1.833333334,0.0,35.0,38.0,345.0,0.166666667,1.833333334,1.833333334,1.833333334,11.06452205882353,5.152334449404763,7.0,0.166666667,0.666666667,0.666666667,0.666666667,0.0,0.833333333,0.9999999999999999,1.8333333330000001,0,19.67195767195767,50.70370370370371,5.0,0.2,67.0,43.0,33.0,0,0,0
2025,Robert Morris,246,Horizon,east,True,0,Alvaro Folgueiras Campos,15,0.0,0.547,0.5075000000000001,151.64999999999998,35.15,74.65,54.5,56.3,15.100000000000001,9.35,11.149999999999999,1.3,56.7,107.3,101.55000000000001,5.75,570.4,70.35,14.0,40.45,76.45,26.5,59.25,0.447,7.199999999999999,21.0,0.3405,16.299999999999997,22.3,0.7284999999999999,11.25,23.1,34.35,15.0,6.65,4.199999999999999,12.45,16.450000000000003,16,1,0,0,0,1,2,106,6.7,0,1.624,1.4,0.6,0.263,15,5,0.75,67.8,107.0,104.9,2.09,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0,0,9.075,25.974999999999994,0.0,0.0,0.0,4.0,83.0,0.0,0.0,0.0,0.0,9.687610877684406,-0.6183712121212117,1.0,0.0,0.0,0.0,0.0,0.166666667,0.166666667,0.166666667,0.666666667,0,26.0,52.0,0.0,0.0,37.0,59.0,62.0,0,0,0
