season,Coach,Team,conference,current_season_W,current_season_L,current_season_W-L%,current_season_AP Pre,current_season_AP Post,current_season_NCAA Tournament,career_at_school_Since,career_at_school_W,career_at_school_L,career_at_school_W-L%,career_at_school_NCAA,career_at_school_S16,career_at_school_FF,career_at_school_Chmp,career_overall_W,career_overall_L,career_overall_W-L%,career_overall_NCAA,career_overall_S16,career_overall_FF,career_overall_Chmp
2023,Bill Self,Kansas,Big 12,24,8,0.75,5,4,Lost Second Round,2003-04,580,132,0.815,19,11,4,2,787,237,0.769,24,14,4,2
2023,Dan Hurley,UConn,Big East,31,8,0.795,0,10,Won National Final,2018-19,104,55,0.654,3,1,1,1,255,160,0.614,5,1,1,1
2023,John Calipari ,Kentucky,SEC,22,12,0.647,4,0,Lost Second Round,2009-10,387,113,0.774,11,8,4,1,832,253,0.767,22,15,6,1
2023,Tom Izzo,Michigan State,Big Ten,21,13,0.618,0,0,Lost Regional Semifinal,1995-96,687,280,0.71,25,15,8,1,687,280,0.71,25,15,8,1
2023,Mark Few,Gonzaga,WCC,31,6,0.838,2,9,Lost Regional Final,1999-00,689,135,0.836,23,12,2,0,689,135,0.836,23,12,2,0
2023,Thad Matta,Butler,Big East,14,18,0.438,0,0,0,2000-01,38,26,0.594,1,0,0,0,453,172,0.725,13,6,2,0
2023,Jim Boeheim ,Syracuse,ACC,17,15,0.531,0,0,0,1976-77,1116,441,0.717,35,20,5,1,1116,441,0.717,35,20,5,1
2023,Rick Barnes,Tennessee,SEC,25,11,0.694,11,20,Lost Regional Semifinal,2015-16,175,92,0.655,5,2,0,0,779,406,0.657,27,8,1,0
2023,Sean Miller,Xavier,Big East,27,10,0.73,0,13,Lost Regional Semifinal,2004-05,147,57,0.721,5,3,0,0,449,166,0.73,12,8,0,0
2023,Scott Drew,Baylor,Big 12,23,11,0.676,5,11,Lost Second Round,2003-04,422,233,0.644,11,5,1,1,442,244,0.644,11,5,1,1
2023,Matt Painter,Purdue,Big Ten,29,6,0.829,0,3,Lost First Round,2005-06,413,198,0.676,14,6,0,0,438,203,0.683,15,6,0,0
2023,Rick Pitino ,Iona,MAAC,27,8,0.771,0,0,Lost First Round,2020-21,64,22,0.744,2,0,0,0,834,293,0.74,23,13,7,2
2023,Tony Bennett,Virginia,ACC,25,8,0.758,18,14,Lost First Round,2009-10,341,125,0.732,9,3,1,1,410,158,0.722,11,4,1,1
2023,Bruce Pearl,Auburn,SEC,21,13,0.618,15,0,Lost Second Round,2014-15,187,111,0.628,4,1,1,0,418,210,0.666,12,5,1,0
2023,Bob Huggins,West Virginia,Big 12,19,15,0.559,0,0,Lost First Round,2007-08,345,203,0.63,11,5,1,0,863,389,0.689,26,9,2,0
2023,Kelvin Sampson,Houston,AAC,33,4,0.892,3,2,Lost Regional Semifinal,2014-15,232,74,0.758,5,4,1,0,657,301,0.686,19,7,2,0
2023,Dana Altman,Oregon,Pac-12,21,15,0.583,21,0,0,2010-11,321,140,0.696,7,5,1,0,731,383,0.656,15,5,1,0
2023,Jamie Dixon,TCU,Big 12,22,13,0.629,14,22,Lost Second Round,2016-17,139,97,0.589,3,0,0,0,467,220,0.68,14,3,0,0
2023,Mick Cronin,UCLA,Pac-12,31,6,0.838,8,7,Lost Regional Semifinal,2019-20,99,36,0.733,3,3,1,0,464,207,0.692,14,4,1,0
2023,Jim Larranaga,Miami (FL),ACC,29,8,0.784,0,16,Lost National Semifinal,2011-12,255,149,0.631,6,4,1,0,697,458,0.603,11,5,2,0
2023,Mike Brey,Notre Dame,ACC,11,21,0.344,0,0,0,2000-01,483,280,0.633,13,3,0,0,582,332,0.637,15,3,0,0
2023,Leonard Hamilton ,Florida State,ACC,9,23,0.281,0,0,0,2002-03,426,265,0.616,8,4,0,0,626,475,0.569,11,5,0,0
2023,Chris Beard,Texas,Big 12,7,1,0.875,12,5,Lost Regional Final,2021-22,29,13,0.69,2,1,0,0,171,73,0.701,6,3,1,0
2023,Buzz Williams,Texas A&M,SEC,25,10,0.714,0,17,Lost First Round,2019-20,76,47,0.618,1,0,0,0,329,202,0.62,9,4,0,0
2023,Frank Martin,UMass,A-10,15,16,0.484,0,0,0,2022-23,15,16,0.484,0,0,0,0,303,217,0.583,5,2,1,0
2023,Mike Anderson Sr,St. John's (NY),Big East,18,15,0.545,0,0,0,2019-20,68,56,0.548,0,0,0,0,437,256,0.631,9,2,0,0
2023,Steve Alford,Nevada,MWC,22,11,0.667,0,0,Lost First Four,2019-20,70,51,0.579,1,0,0,0,579,320,0.644,12,4,0,0
