season,Team,AP_Pre 1,AP_Week 2,AP_Week 3,AP_Week 4,AP_Week 5,AP_Week 6,AP_Week 7,AP_Week 8,AP_Week 9,AP_Week 10,AP_Week 11,AP_Week 12,AP_Week 13,AP_Week 14,AP_Week 15,AP_Week 16,AP_Week 17,AP_Week 18,AP_Final
2024,Clemson,0,0,0,0,24,13,18,18,16,21,0,0,0,0,0,0,0,0,0
2024,Colorado,0,25,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Colorado State,0,0,0,20,13,17,16,15,13,17,0,24,0,0,0,22,0,0,0
2024,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,0
2024,Indiana State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
2024,James Madison,0,24,22,22,18,20,20,20,19,0,0,0,0,0,0,0,0,0,0
2024,Memphis,0,0,0,0,0,0,23,19,15,13,10,19,0,0,0,0,0,0,0
2024,Mississippi State,0,0,25,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,New Mexico,0,0,0,0,0,0,0,0,0,0,0,25,19,25,0,0,0,0,0
2024,Northwestern,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Oklahoma,0,0,0,25,19,11,7,12,11,9,15,11,23,0,25,0,0,0,0
2024,Ole Miss,0,0,0,0,0,0,25,24,22,0,22,0,0,0,0,0,0,0,0
2024,Providence,0,0,0,0,0,0,0,25,23,0,0,0,0,0,0,0,0,0,0
2024,TCU,0,0,0,0,0,0,0,0,0,0,19,0,25,0,0,0,0,0,0
2024,Texas Tech,0,0,0,0,0,0,0,0,0,0,25,20,15,23,0,23,0,0,0
2024,Virginia,0,0,24,0,0,22,22,0,0,0,0,0,0,0,21,0,0,0,0
2024,Wisconsin,0,0,0,0,23,23,24,23,21,15,11,13,6,11,20,0,0,0,0
2024,Iowa State,0,0,0,0,0,0,0,0,0,0,24,23,12,14,10,6,8,6,0
2024,Auburn,0,0,0,0,0,0,0,0,25,16,13,8,16,12,13,14,11,13,0
2024,South Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,20,18,17,0
2024,Washington State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19,18,0
2024,BYU,0,0,0,19,14,18,17,14,12,18,20,21,22,21,19,25,0,20,0
2024,Utah State,0,0,0,0,0,0,0,0,0,20,16,18,17,22,0,0,22,22,0
2024,South Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,0
2024,Dayton,0,0,0,0,0,0,0,0,0,0,21,16,21,18,16,16,21,25,0
2024,Kansas,1,1,1,5,2,2,2,2,2,3,3,7,8,4,6,9,7,14,0
2024,Duke,2,9,9,7,22,21,21,16,14,12,7,12,7,9,9,8,10,9,0
2024,Purdue,3,2,2,1,4,3,1,1,1,1,2,2,2,2,2,3,2,3,0
2024,Michigan State,4,18,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Marquette,5,4,4,3,8,7,6,10,7,11,17,14,9,7,4,7,5,8,0
2024,UConn,6,5,5,4,5,5,5,5,4,4,1,1,1,1,1,1,3,2,0
2024,Houston,7,6,6,6,3,4,3,3,3,2,5,4,4,5,3,2,1,1,0
2024,Creighton,8,8,8,15,10,8,12,22,0,22,18,17,13,19,17,15,12,10,0
2024,Tennessee,9,7,7,10,17,12,8,6,5,5,6,5,5,6,8,5,4,4,0
2024,Florida Atlantic,10,10,19,13,11,15,14,7,17,24,23,22,20,20,24,0,0,0,0
2024,Gonzaga,11,11,11,11,7,10,15,13,24,23,0,0,0,0,0,0,23,19,0
2024,Arizona,12,3,3,2,1,1,4,4,10,8,12,9,11,8,5,4,6,5,0
2024,Miami (FL),13,12,10,8,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Arkansas,14,14,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Texas A&M,15,13,12,14,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Kentucky,16,17,16,12,16,14,9,8,6,6,8,6,10,17,22,17,16,15,0
2024,San Diego State,17,0,0,0,25,0,0,0,0,19,0,0,0,24,0,19,20,21,0
2024,Texas,18,19,15,16,12,19,19,21,20,25,0,0,0,0,0,0,0,0,0
2024,UNC,19,20,14,17,9,9,11,9,8,7,4,3,3,3,7,10,9,7,0
2024,Baylor,20,15,13,9,6,6,10,17,18,14,9,15,18,13,12,11,15,11,0
2024,USC,21,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Villanova,22,21,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Saint Mary's,23,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,17,23,0
2024,Alabama,24,22,17,23,0,0,0,0,0,0,0,0,24,16,15,13,14,16,0
2024,Illinois,25,23,0,24,20,16,13,11,9,10,14,10,14,10,14,12,13,12,0
2023,Wisconsin,0,0,0,0,0,22,17,15,14,18,0,0,0,0,0,0,0,0,0
2023,West Virginia,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
2023,Virginia Tech,0,0,0,0,0,24,21,0,0,0,0,0,0,0,0,0,0,0,0
2023,Rutgers,0,0,0,0,0,0,0,0,0,0,23,0,0,24,0,0,0,0,0
2023,Providence,0,0,0,0,0,0,0,0,0,19,22,23,17,20,24,20,20,0,0
2023,Pittsburgh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
2023,Ohio State,0,0,0,25,25,23,0,0,24,0,0,0,0,0,0,0,0,0,0
2023,Northwestern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
2023,New Mexico,0,0,0,0,0,0,0,22,21,0,0,25,0,0,0,0,0,0,0
2023,NC State,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,0,0,0,0
2023,Mississippi State,0,0,0,0,23,17,15,21,0,0,0,0,0,0,0,0,0,0,0
2023,Michigan State,0,0,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Maryland,0,0,23,22,13,20,0,0,0,0,0,0,0,0,0,0,21,0,0
2023,Iowa State,0,0,0,23,20,0,0,0,25,14,12,12,13,11,19,23,0,0,0
2023,Iowa,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Charleston,0,0,0,0,0,0,0,0,23,22,18,18,0,0,0,0,0,0,0
2023,Clemson,0,0,0,0,0,0,0,0,0,0,19,24,20,0,0,0,0,0,0
2023,Arizona State,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
2023,North Carolina,1,1,1,18,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
2023,Kentucky,4,4,15,19,16,13,19,19,0,0,0,0,0,0,0,0,23,23,0
2023,Creighton,9,10,10,7,21,0,0,0,0,0,0,0,0,23,18,19,0,24,0
2023,Arkansas,10,9,9,11,9,10,10,9,13,15,25,0,0,0,0,0,0,0,0
2023,Auburn,15,13,13,15,11,19,23,20,22,21,16,15,25,0,0,0,0,0,0
2023,Villanova,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Oregon,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Michigan,22,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Illinois,23,19,16,16,17,18,16,0,0,0,0,0,0,0,0,0,0,0,0
2023,Dayton,24,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Texas Tech,25,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Alabama,20,18,18,11,8,4,9,8,7,4,4,2,4,3,1,2,2,4,1
2023,Houston,3,3,2,1,1,5,3,3,2,1,1,3,3,2,2,1,1,1,2
2023,Purdue,0,0,24,5,4,1,1,1,1,3,3,1,1,1,3,5,5,5,3
2023,Kansas,5,6,3,9,6,8,4,4,3,2,2,9,8,9,5,3,3,3,4
2023,Texas,12,11,4,2,2,7,7,6,6,10,7,10,10,5,6,8,9,7,5
2023,Marquette,0,0,0,0,0,0,24,0,0,25,20,16,14,10,11,10,6,6,6
2023,UCLA,8,8,19,21,19,16,13,11,10,7,5,8,9,7,4,4,4,2,7
2023,Arizona,17,14,14,4,10,9,5,5,5,9,11,6,5,4,8,7,8,8,8
2023,Gonzaga,2,2,6,14,18,15,11,10,9,8,6,14,12,16,13,12,10,9,9
2023,Connecticut,0,25,20,8,5,3,2,2,4,6,15,19,24,21,20,18,14,11,10
2023,Baylor,5,5,7,6,12,11,12,12,19,0,21,17,11,14,9,9,7,10,11
2023,Duke,7,7,8,17,15,12,14,17,16,24,0,0,0,0,0,0,0,21,12
2023,Xavier,0,0,0,0,0,0,0,22,18,12,8,13,16,13,16,16,19,15,13
2023,Virginia,18,16,5,3,3,2,6,13,11,13,10,7,6,8,7,6,13,13,14
2023,Kansas State,0,0,0,0,0,0,0,0,0,11,13,5,7,12,12,14,11,12,15
2023,Miami (FL),0,0,0,0,0,25,22,14,12,16,17,20,23,19,15,13,16,14,16
2023,Texas A&M,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,18,17
2023,San Diego State,19,17,17,24,22,0,0,0,0,23,0,0,22,25,21,22,18,20,18
2023,Saint Mary's,0,0,0,0,0,0,0,0,0,0,0,22,18,15,17,15,17,16,19
2023,Tennessee,11,22,22,13,7,6,8,7,8,5,9,4,2,6,10,11,12,17,20
2023,Indiana,13,12,11,10,14,14,18,16,15,0,0,0,21,18,14,17,15,19,21
2023,Texas Christian,14,15,0,0,24,21,20,18,17,17,14,11,15,17,22,24,22,22,22
2023,Missouri,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,25,23
2023,Memphis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
2023,Florida Atlantic,0,0,0,0,0,0,0,0,0,0,24,21,19,0,25,0,0,0,25
2022,Xavier,0,0,25,0,0,22,18,23,22,17,20,21,21,25,0,0,0,0,0
2022,Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
2022,Seton Hall,0,0,21,25,23,16,15,15,24,20,0,0,0,0,0,0,0,0,0
2022,Michigan State,0,0,0,22,19,12,11,10,10,10,14,10,13,17,19,0,0,0,0
2022,Marquette,0,0,0,0,0,0,0,0,0,0,0,22,24,18,0,0,0,0,0
2022,Loyola (IL),0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
2022,LSU,0,0,0,0,25,19,17,16,21,12,13,19,25,0,0,0,0,0,0
2022,Iowa State,0,0,0,19,17,11,9,8,11,15,15,23,20,0,0,0,0,0,0
2022,Florida,0,24,23,14,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Davidson,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
2022,Brigham Young,0,0,18,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Michigan,6,4,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Memphis,12,11,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Oregon,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Alabama,14,14,10,16,9,6,10,19,15,24,0,0,0,0,25,24,25,0,0
2022,Ohio State,17,19,0,0,21,15,14,13,13,16,19,16,16,16,18,22,23,0,0
2022,North Carolina,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
2022,Florida State,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Maryland,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,St. Bonaventure,23,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Virginia,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Gonzaga,1,1,1,3,5,5,4,4,4,2,1,2,2,2,1,1,1,1,1
2022,Arizona,0,0,17,11,11,8,6,9,8,6,3,3,7,4,3,2,2,2,2
2022,Kansas,3,3,4,8,8,7,7,6,6,9,7,5,10,8,6,5,6,6,3
2022,Baylor,8,9,6,4,2,1,1,1,1,1,5,4,8,10,7,10,3,3,4
2022,Tennessee,18,17,15,13,13,18,19,14,18,22,24,18,22,19,16,17,13,9,5
2022,Villanova,4,5,7,6,6,9,23,22,19,14,11,14,12,15,10,8,11,8,6
2022,Kentucky,10,13,10,9,10,21,20,18,16,18,12,12,5,5,4,6,7,5,7
2022,Auburn,22,21,19,21,18,13,12,11,9,4,2,1,1,1,2,3,5,4,8
2022,Duke,9,7,5,1,3,2,2,2,2,8,6,9,9,7,9,7,4,7,9
2022,Purdue,7,6,3,2,1,3,3,3,3,7,4,6,4,3,5,4,8,9,10
2022,UCLA,2,2,2,5,4,4,5,5,5,3,9,7,3,12,13,12,17,13,11
2022,Texas Tech,0,0,0,0,0,25,25,25,25,19,18,13,14,9,11,9,12,14,12
2022,Providence,0,0,0,0,0,0,22,21,16,23,21,17,15,11,8,11,9,11,13
2022,Wisconsin,0,0,0,23,22,0,24,24,23,13,8,11,11,14,15,13,10,12,14
2022,Houston,15,15,12,15,14,14,13,12,12,11,10,7,6,6,14,14,14,18,15
2022,Iowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,24,16
2022,Arkansas,16,16,13,10,12,24,0,0,0,0,0,0,0,0,23,18,14,15,17
2022,Saint Mary's,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,23,19,17,18
2022,Illinois,11,10,14,0,0,0,0,0,0,25,17,24,18,13,12,15,20,16,19
2022,Murray State,0,0,0,0,0,0,0,0,0,0,0,0,0,23,21,19,22,19,20
2022,Connecticut,24,23,22,17,15,20,0,0,0,0,25,20,17,24,24,21,18,20,21
2022,USC,0,25,24,20,16,10,8,7,7,5,16,15,19,21,17,16,16,21,22
2022,Boise State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
2022,Colorado State,0,0,0,0,0,23,21,20,20,0,0,0,0,0,0,0,0,23,24
2022,Texas,5,8,8,7,7,17,16,17,14,21,23,0,23,20,20,20,21,22,25
2021,Alabama,0,0,0,0,0,0,0,0,18,9,10,11,8,6,8,6,5,0,0
2021,Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,24,20,12,8,10,0,0
2021,Oklahoma State,0,0,0,0,0,0,0,0,0,0,0,23,0,0,17,12,11,0,0
2021,San Diego State,0,0,24,18,0,0,0,0,0,0,0,0,25,22,19,19,16,0,0
2021,Loyola (IL),0,0,0,0,0,0,0,0,0,0,0,22,22,21,20,18,17,0,0
2021,Purdue,0,0,0,0,0,0,0,0,0,0,24,24,0,0,23,20,20,0,0
2021,Colorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23,22,0,0
2021,Brigham Young,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
2021,USC,0,0,0,0,0,0,0,0,0,0,0,20,17,19,0,24,24,0,0
2021,Virginia Tech,0,16,15,0,24,24,19,20,16,20,16,18,18,16,22,22,25,0,0
2021,Xavier,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Connecticut,0,0,0,0,0,0,0,25,23,0,0,0,0,0,0,0,0,0,0
2021,Saint Louis,0,0,0,0,0,0,23,24,25,22,0,0,0,0,0,0,0,0,0
2021,Richmond,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Oklahoma,0,0,0,0,0,0,0,0,0,24,9,12,9,7,16,25,0,0,0
2021,Northwestern,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Missouri,0,0,0,16,14,12,13,17,19,12,18,10,20,24,0,0,0,0,0
2021,Minnesota,0,0,0,0,0,21,16,23,17,21,0,0,0,0,0,0,0,0,0
2021,Louisville,0,0,25,23,0,0,0,16,0,25,0,0,0,0,0,0,0,0,0
2021,Florida,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
2021,Drake,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
2021,Clemson,0,0,0,24,0,0,19,12,20,0,0,0,0,0,0,0,0,0,0
2021,Gonzaga,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2021,Baylor,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,0,0
2021,Villanova,3,12,9,7,5,4,3,3,3,3,3,5,10,8,10,14,18,0,0
2021,Virginia,4,15,18,17,16,23,22,18,13,8,14,9,7,15,21,16,15,0,0
2021,Iowa,5,3,3,3,4,10,5,5,4,7,8,15,11,9,5,5,8,0,0
2021,Kansas,6,7,5,5,3,3,6,6,9,15,23,0,23,17,13,11,12,0,0
2021,Wisconsin,7,4,13,12,9,6,8,9,10,14,19,21,21,23,25,0,0,0,0
2021,Illinois,8,5,6,13,18,15,12,14,22,19,12,6,5,5,4,3,2,0,0
2021,Duke,9,6,10,21,20,20,21,19,0,0,0,0,0,0,0,0,0,0,0
2021,Kentucky,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Creighton,11,9,8,9,13,11,7,8,11,17,15,19,14,13,14,17,19,0,0
2021,Tennessee,12,13,12,10,8,7,9,10,6,18,11,16,19,25,0,0,0,0,0
2021,Michigan State,13,8,4,4,12,17,23,0,0,0,0,0,0,0,0,0,0,0,0
2021,Texas Tech,14,17,17,14,15,13,18,15,12,10,13,7,15,18,18,20,21,0,0
2021,West Virginia,15,11,11,8,7,9,14,13,14,11,17,14,13,10,6,10,13,0,0
2021,North Carolina,16,14,16,22,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Houston,17,10,7,6,6,5,11,11,8,6,5,8,6,12,9,7,6,0,0
2021,Arizona State,18,25,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Texas,19,17,13,11,10,8,4,4,5,5,6,13,12,14,15,13,9,0,0
2021,Oregon,20,21,0,0,25,21,17,22,21,0,0,0,0,0,0,0,0,0,0
2021,Florida State,21,22,20,15,21,18,25,0,0,16,20,17,16,11,11,15,14,0,0
2021,UCLA,22,0,0,0,0,0,0,0,24,23,21,0,0,0,0,0,0,0,0
2021,Ohio State,23,23,22,20,23,25,0,21,15,13,7,4,4,4,7,9,7,0,0
2021,Rutgers,24,24,21,19,11,14,15,0,0,0,0,25,0,0,0,0,0,0,0
2021,Michigan,25,0,0,25,19,16,10,7,7,4,4,3,3,3,2,4,4,0,0
2019,Iowa State,0,0,0,0,0,0,0,0,0,20,0,24,20,17,23,19,0,0,0
2019,Utah State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Texas,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,St. John's,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
2019,Ole Miss,0,0,0,0,0,0,0,0,0,0,18,20,0,0,0,0,0,0,0
2019,Oklahoma,0,0,0,0,0,0,0,25,23,23,20,0,0,0,0,0,0,0,0
2019,Ohio State,0,0,23,16,19,15,15,13,14,16,0,0,0,0,0,0,0,0,0
2019,Nebraska,0,0,0,0,24,0,25,0,24,0,0,0,0,0,0,0,0,0,0
2019,NC State,0,0,0,0,0,0,0,20,18,15,17,21,23,0,0,0,0,0,0
2019,Louisville,0,0,0,0,0,0,0,0,0,0,0,23,15,16,16,18,0,0,0
2019,Iowa,0,0,20,14,18,22,23,24,25,0,23,19,0,20,21,21,22,0,0
2019,Indiana,0,0,0,0,0,25,22,23,21,22,25,0,0,0,0,0,0,0,0
2019,Furman,0,0,0,0,25,23,24,0,0,0,0,0,0,0,0,0,0,0,0
2019,Arizona State,0,0,0,0,20,20,18,17,0,0,0,0,0,0,0,0,0,0,0
2019,UCF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
2019,West Virginia,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Oregon,14,13,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Syracuse,16,15,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Mississippi State,18,17,15,25,22,18,17,19,17,14,24,22,22,0,0,0,0,0,0
2019,Texas Christian,20,21,18,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
2019,UCLA,21,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Clemson,22,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Washington,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
2019,Gonzaga,3,3,3,1,1,4,8,7,7,5,5,4,4,4,3,2,1,1,1
2019,Virginia,5,4,4,4,4,6,5,4,4,4,4,3,3,3,4,3,2,2,2
2019,North Carolina,8,7,7,11,14,12,9,14,15,12,13,11,9,8,8,8,5,3,3
2019,Kentucky,2,10,10,10,9,19,19,16,13,18,12,8,7,5,5,4,4,6,4
2019,Duke,4,1,1,3,3,2,2,1,1,1,1,2,2,2,2,1,3,4,5
2019,Michigan State,10,11,11,9,10,9,10,8,8,6,6,6,6,9,11,10,6,9,6
2019,Texas Tech,0,0,0,20,13,11,12,11,11,8,8,14,16,18,15,14,11,8,7
2019,Tennessee,6,5,5,6,7,3,3,3,3,3,3,1,1,1,1,5,7,5,8
2019,LSU,23,22,19,0,0,0,0,0,0,0,0,25,19,21,19,13,13,10,9
2019,Michigan,19,18,9,7,5,5,4,2,2,2,2,5,5,7,6,7,9,7,10
2019,Houston,0,0,0,0,0,24,21,22,19,17,21,17,13,12,9,9,8,12,11
2019,Florida State,17,14,14,15,11,10,11,9,9,13,11,0,25,22,17,16,18,14,12
2019,Purdue,24,23,24,19,0,0,0,0,0,0,0,0,17,15,12,15,14,11,13
2019,Nevada,7,6,6,5,6,7,6,6,6,10,10,7,8,6,7,6,12,17,14
2019,Kansas State,12,12,12,12,16,25,0,0,0,0,0,0,0,0,18,23,16,18,15
2019,Virginia Tech,15,16,13,13,15,13,13,10,10,9,9,10,12,11,22,20,20,15,16
2019,Kansas,1,2,2,2,2,1,1,5,5,7,7,9,11,13,14,12,15,13,17
2019,Buffalo,0,25,22,21,17,14,14,21,20,19,16,14,18,23,25,25,21,19,18
2019,Wisconsin,0,0,25,22,12,16,16,15,22,0,0,0,24,19,20,22,19,21,19
2019,Wofford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22,20
2019,Maryland,0,0,0,24,23,0,0,0,0,0,19,13,21,24,24,24,17,24,21
2019,Auburn,11,9,8,8,8,8,7,12,12,11,14,16,0,0,0,0,0,0,22
2019,Marquette,0,24,0,0,0,21,20,18,16,21,15,12,10,10,10,11,10,16,23
2019,Cincinnati,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,23,20,24
2019,Villanova,9,8,0,23,21,17,0,0,0,0,22,18,14,14,13,17,0,23,25
2018,Texas Christian,0,0,0,23,20,14,15,10,16,16,24,0,0,0,0,0,0,0,0
2018,Oklahoma,0,0,0,0,0,0,17,12,7,9,4,12,12,17,23,0,0,0,0
2018,Middle Tennessee State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,0
2018,Florida State,0,0,0,0,0,19,24,24,24,23,0,0,0,0,0,25,0,0,0
2018,Creighton,0,0,0,25,0,0,25,25,0,25,0,0,0,0,0,0,0,0,0
2018,Arkansas,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
2018,Arizona State,0,0,0,20,16,5,3,3,4,11,16,21,25,0,25,0,0,0,0
2018,Alabama,0,0,25,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Rhode Island,0,0,0,0,0,0,0,0,0,0,0,24,22,18,16,18,17,25,0
2018,USC,10,10,10,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Notre Dame,14,13,13,5,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Minnesota,15,14,14,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Louisville,16,18,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Northwestern,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,UCLA,21,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Seton Hall,23,22,20,0,19,15,23,23,21,13,19,0,0,0,0,0,0,0,0
2018,Baylor,24,25,22,16,23,21,19,18,0,0,0,0,0,0,0,0,0,0,0
2018,Texas A&M,25,16,16,9,7,9,8,5,11,0,0,0,0,0,21,0,0,0,0
2018,Virginia,0,0,0,18,15,16,13,9,8,3,2,2,2,2,1,1,1,1,1
2018,Villanova,6,5,5,4,4,1,1,1,3,1,1,1,1,1,3,3,4,2,2
2018,Xavier,17,15,15,21,13,10,9,6,5,10,11,8,6,5,4,4,3,3,3
2018,Kansas,4,4,3,2,2,13,14,11,10,12,10,5,7,10,13,8,6,9,4
2018,Michigan State,2,2,4,3,3,2,2,2,1,4,9,6,5,4,2,2,2,4,5
2018,Cincinnati,12,12,12,11,17,25,20,21,19,14,12,9,8,6,5,11,10,8,6
2018,Michigan,0,0,0,0,0,0,0,0,0,0,23,25,24,20,22,17,15,7,7
2018,Gonzaga,18,17,17,15,12,12,12,20,19,15,13,15,14,12,9,6,7,6,8
2018,Duke,1,1,1,1,1,4,4,4,2,7,5,4,4,9,12,5,5,5,9
2018,North Carolina,9,9,9,13,11,7,5,13,12,20,15,10,19,21,14,10,9,12,10
2018,Purdue,20,19,18,0,21,17,16,14,13,5,3,3,3,3,6,9,8,10,11
2018,Arizona,3,3,2,0,0,23,18,17,14,17,14,11,9,13,17,14,19,15,12
2018,Tennessee,0,0,0,0,24,20,21,19,23,24,21,22,18,15,18,19,16,13,13
2018,Texas Tech,0,0,0,22,0,24,22,22,18,8,8,14,10,7,7,6,12,14,14
2018,West Virginia,11,24,23,19,18,11,10,7,6,2,6,7,15,19,20,21,20,18,15
2018,Wichita State,7,6,6,8,6,3,11,8,9,6,7,17,16,22,19,13,11,11,16
2018,Ohio State,0,0,0,0,0,0,0,0,0,0,22,13,17,14,8,16,13,17,17
2018,Kentucky,5,7,8,7,8,8,7,16,17,21,18,0,21,24,0,0,23,0,18
2018,Auburn,0,0,0,0,0,0,0,0,0,22,17,19,11,8,10,12,14,16,19
2018,Clemson,0,0,0,0,0,0,0,0,25,19,20,18,20,16,11,15,18,19,20
2018,Houston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,21,21
2018,Miami (FL),13,11,11,10,10,6,6,15,15,18,25,0,0,25,0,0,0,24,22
