season,#,Team,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,MOV,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %
2024,82,Saint Mary's,9,0,0,0,0,1,0,103,19.5,0,1.598,2.2,0.9,0.206,15,1,0.938
2024,35,Gonzaga,13,0,0,0,0,1,0,105,19.1,0,1.512,2,0.8,0.217,14,2,0.875
2024,23,McNeese State,14,0,0,0,0,3,0,105,17.1,0,1.58,1.5,1,0.308,17,1,0.944
2024,60,UConn,10,2,0,0,0,0,2,101,13.9,0,1.632,1.9,0.7,0.235,18,2,0.9
2024,12,Arizona,16,0,0,0,0,1,0,105,13,0,1.572,1.6,0.7,0.259,15,5,0.75
2024,132,Auburn,7,2,0,0,0,1,4,101,12.6,0,1.61,1.7,0.7,0.289,13,5,0.722
2024,48,James Madison,11,1,0,0,0,2,0,105,12.2,0,1.561,1.6,0.9,0.248,15,3,0.833
2024,186,Colgate,6,0,0,0,0,1,1,88,12.1,0,1.589,1.6,0.7,0.209,16,2,0.889
2024,32,Tennessee,13,1,1,0,0,1,2,103,11.8,0,1.596,1.8,0.9,0.258,14,4,0.778
2024,104,Grand Canyon,8,0,0,0,0,1,0,96,11.6,0,1.459,1,0.7,0.33,17,3,0.85
2024,24,Indiana State,14,0,0,1,0,0,0,101,11.5,0,1.587,1.4,0.5,0.259,17,3,0.85
2024,11,Morehead State,16,0,0,0,0,2,0,84,11.4,0,1.552,1.3,0.6,0.24,14,4,0.778
2024,334,Vermont,2,1,0,0,0,0,1,94,11.2,0,1.549,1.6,0.7,0.226,15,1,0.938
2024,87,Appalachian State,9,1,0,0,0,1,2,91,11,0,1.486,1.3,0.5,0.218,16,2,0.889
2024,156,Houston,6,1,0,0,0,2,0,89,10.6,0,1.474,1.6,1.2,0.206,15,3,0.833
2024,2,North Carolina,22,1,1,0,0,2,1,103,10.5,0,1.517,1.4,0.6,0.259,17,3,0.85
2024,1,Purdue,22,0,0,1,0,1,0,105,10.3,0,1.642,1.7,0.5,0.309,17,3,0.85
2024,292,Charleston,3,0,0,0,0,0,0,107,10.3,0,1.539,1.9,0.6,0.171,15,3,0.833
2024,9,Youngstown State,17,0,0,0,0,0,3,105,10.2,0,1.531,1.5,0.6,0.248,14,6,0.7
2024,219,Samford,5,0,0,0,0,3,0,134,10.2,0,1.544,1.4,0.9,0.27,15,3,0.833
2024,55,Yale,11,1,0,0,0,1,0,89,10,0,1.559,2,0.7,0.194,11,3,0.786
2024,155,UC Irvine,6,1,0,0,0,2,1,93,10,0,1.539,1.4,0.6,0.283,17,3,0.85
2024,62,Duke,10,0,0,0,0,0,0,86,9.9,0,1.518,1.5,0.6,0.232,15,5,0.75
2024,79,Little Rock,9,2,0,0,0,0,3,88,9.9,0,1.542,1.3,0.5,0.245,14,4,0.778
2024,54,Princeton,11,0,0,0,0,0,0,105,9.7,0,1.562,2.5,0.9,0.277,12,2,0.857
2024,147,Drake,7,0,0,0,0,0,0,107,9.6,0,1.539,1.9,0.8,0.238,16,4,0.8
2024,136,Texas A&M-CC,7,0,0,0,0,1,0,91,9.4,0,1.545,1.3,0.7,0.263,14,4,0.778
2024,56,Dayton,11,0,0,0,0,0,0,100,9.1,0,1.55,1.5,0.6,0.263,14,4,0.778
2024,143,Eastern Washington,7,0,0,0,0,1,0,108,8.7,0,1.604,1.3,0.5,0.345,15,3,0.833
2024,198,Bradley,5,0,0,0,0,1,3,95,8.6,0,1.486,1.3,0.7,0.193,13,7,0.65
2024,213,Merrimack College,5,0,0,0,0,1,1,85,8.6,0,1.522,1.1,0.8,0.255,13,3,0.813
2024,7,Akron,18,0,0,0,0,0,1,84,8.4,0,1.473,1.4,0.6,0.24,13,5,0.722
2024,59,Louisiana Tech,11,1,0,0,0,2,3,93,8.3,0,1.45,0.9,0.6,0.301,12,4,0.75
2024,221,Toledo,5,1,0,0,0,1,0,97,8.2,0,1.476,1.4,0.7,0.288,14,4,0.778
2024,122,Boise State,7,0,0,0,0,0,0,94,7.9,0,1.465,1.2,0.5,0.285,13,5,0.722
2024,129,North Carolina Central,7,0,0,0,0,1,1,93,7.9,0,1.485,1.1,0.6,0.279,9,5,0.643
2024,263,High Point,4,0,0,0,0,0,0,100,7.9,0,1.407,1.1,0.5,0.378,13,3,0.813
2024,3,Creighton,21,2,0,0,0,0,4,98,7.7,0,1.594,1.7,0.5,0.174,14,6,0.7
2024,230,Troy,5,0,0,0,0,4,1,87,7.6,0,1.48,1,0.9,0.288,13,5,0.722
2024,315,Cornell,2,0,0,0,0,0,0,98,7.6,0,1.592,1.7,0.8,0.189,11,3,0.786
2024,16,Illinois,15,1,0,0,0,3,0,105,7.5,0,1.435,1.3,0.5,0.295,14,6,0.7
2024,177,Florida Atlantic,6,0,0,0,0,0,0,112,7.5,0,1.535,1.5,0.7,0.241,14,4,0.778
2024,61,Marquette,10,0,0,0,0,2,0,105,7.4,0,1.542,1.6,0.9,0.158,14,6,0.7
2024,180,Drexel,6,0,0,0,0,0,2,99,7.2,0,1.494,1.4,0.5,0.236,13,5,0.722
2024,153,UC San Diego,6,0,0,0,0,0,0,92,7.1,0,1.47,1.4,0.7,0.252,15,5,0.75
2024,80,South Florida,9,1,0,0,0,1,1,90,6.9,0,1.598,1.5,0.7,0.276,16,2,0.889
2024,320,St. Thomas-Minnesota,2,0,0,0,0,0,0,88,6.9,0,1.481,1.7,0.9,0.233,9,7,0.563
2024,201,UNC Wilmington,5,0,0,0,0,1,0,100,6.8,0,1.447,1.5,0.8,0.242,12,6,0.667
2024,347,Ohio,1,0,0,0,0,1,0,91,6.8,0,1.544,1.5,0.8,0.244,13,5,0.722
2024,161,San Diego State,6,0,0,0,0,0,0,81,6.7,0,1.492,1.1,0.6,0.264,11,7,0.611
2024,10,Western Carolina,17,4,0,0,0,1,1,102,6.6,0,1.402,1.2,0.5,0.206,11,7,0.611
2024,194,UNC Asheville,5,0,0,0,0,0,1,95,6.6,0,1.54,1.3,0.5,0.32,12,4,0.75
2024,41,San Francisco,12,0,0,0,0,1,0,96,6.5,0,1.539,1.6,0.8,0.2,11,5,0.688
2024,44,Utah State,12,0,0,0,0,0,0,90,6.4,0,1.561,1.4,0.5,0.294,14,4,0.778
2024,252,Fairfield,4,1,1,0,0,3,1,96,6.4,0,1.505,1.4,0.8,0.22,14,6,0.7
2024,26,Wright State,14,2,0,0,0,2,1,107,6.3,0,1.563,1.6,0.5,0.273,13,7,0.65
2024,90,South Dakota State,9,1,0,0,0,1,2,97,6.3,0,1.42,1.1,0.6,0.24,12,4,0.75
2024,131,Kentucky,7,1,0,0,0,4,3,117,6.3,0,1.524,1.5,0.6,0.248,13,5,0.722
2024,22,Texas-Arlington,14,0,0,0,0,1,1,91,6.2,0,1.595,1,0.5,0.314,13,7,0.65
2024,348,Texas Southern,1,0,0,0,0,0,0,93,6.2,0,1.499,1,0.6,0.26,12,6,0.667
2024,6,New Mexico,18,2,0,0,0,3,5,99,6.1,0,1.464,1.4,0.8,0.228,10,8,0.556
2024,28,Tennessee-Martin,13,1,0,1,0,1,1,106,6.1,0,1.458,1.2,0.5,0.294,14,4,0.778
2024,98,Lamar,8,1,0,0,0,0,2,98,6.1,0,1.593,1.4,0.6,0.238,12,6,0.667
2024,76,Oakland,9,0,0,0,0,1,1,107,6,0,1.579,1.4,0.5,0.261,15,5,0.75
2024,305,Central Connecticut State,2,0,0,0,0,0,0,79,5.9,0,1.549,1.3,0.7,0.251,13,3,0.813
2024,93,Wake Forest,8,0,0,0,0,0,2,99,5.8,0,1.461,1.2,0.5,0.237,11,9,0.55
2024,222,Chattanooga,5,0,0,0,0,0,0,109,5.8,0,1.465,1.2,0.6,0.209,12,6,0.667
2024,244,Southern Methodist,4,0,0,0,0,0,1,106,5.8,0,1.552,1.6,0.9,0.204,11,7,0.611
2024,286,Fort Wayne,3,0,0,0,0,3,0,98,5.8,0,1.483,1.4,0.9,0.215,11,9,0.55
2024,31,Eastern Kentucky,13,1,0,0,0,0,2,95,5.7,0,1.485,1.6,0.5,0.243,12,4,0.75
2024,84,Hofstra,9,0,0,0,0,2,0,87,5.7,0,1.548,1.5,0.6,0.161,12,6,0.667
2024,182,Alabama,6,1,0,0,0,0,1,109,5.7,0,1.516,1.3,0.6,0.259,13,5,0.722
2024,187,Nevada,6,0,0,0,0,0,0,93,5.7,0,1.639,1.6,0.7,0.311,13,5,0.722
2024,92,Loyola (IL),8,0,0,0,0,1,3,85,5.5,0,1.638,1.3,0.6,0.243,15,3,0.833
2024,321,Sam Houston State,2,0,0,0,0,0,0,83,5.5,0,1.488,1,0.5,0.231,13,3,0.813
2024,52,UMass Lowell,11,1,0,0,0,1,2,104,5.4,0,1.442,1,0.6,0.33,11,5,0.688
2024,38,St. John's,12,1,0,0,0,0,4,104,5.2,0,1.519,1.5,0.7,0.202,11,9,0.55
2024,102,Quinnipiac,8,1,0,0,0,3,0,91,5.2,0,1.475,1.1,0.7,0.224,15,5,0.75
2024,166,UNC Greensboro,6,0,0,0,0,3,0,100,5,0,1.574,1.4,0.7,0.208,12,6,0.667
2024,174,Alcorn State,6,0,0,0,0,1,0,104,5,0,1.487,1.2,0.6,0.296,13,5,0.722
2024,77,Weber State,9,0,0,1,0,2,0,93,4.9,0,1.43,1.2,0.8,0.275,11,7,0.611
2024,164,Towson,6,0,0,0,0,0,0,84,4.8,0,1.495,1.1,0.5,0.216,11,7,0.611
2024,270,Richmond,4,0,0,0,0,1,0,90,4.7,0,1.515,1.6,0.8,0.245,15,3,0.833
2024,196,Grambling State,5,0,0,0,0,1,2,84,4.6,0,1.41,0.7,0.6,0.313,14,4,0.778
2024,165,Montana,6,0,0,0,0,0,0,94,4.5,0,1.526,1.6,0.6,0.231,12,6,0.667
2024,211,Santa Clara,5,0,0,0,0,0,0,101,4.5,0,1.546,1.3,0.4,0.226,10,6,0.625
2024,78,Massachusetts,9,0,0,0,0,0,0,84,4.3,0,1.535,1.4,0.6,0.246,11,7,0.611
2024,247,Southern,4,0,0,0,0,0,1,81,4.3,0,1.591,1,0.6,0.266,12,6,0.667
2024,308,Lipscomb,2,0,0,0,0,0,1,101,4.3,0,1.491,1.9,0.7,0.224,11,5,0.688
2024,357,Norfolk State,0,0,0,0,0,1,0,85,4.3,0,1.497,1,0.6,0.288,11,3,0.786
2024,17,Arkansas State,15,1,0,0,0,1,1,109,4.2,0,1.524,1.5,0.6,0.255,11,7,0.611
2024,43,Northern Colorado,12,0,0,0,0,0,0,98,4,0,1.51,1.5,0.6,0.202,12,6,0.667
2024,57,Sacred Heart,11,1,0,0,0,2,3,99,4,0,1.554,1.4,0.7,0.232,10,6,0.625
2024,30,Memphis,13,1,0,0,0,3,1,112,3.9,0,1.496,1.1,0.6,0.248,11,7,0.611
2024,237,Iowa State,4,0,0,0,0,3,1,82,3.9,0,1.537,1.3,0.9,0.213,13,5,0.722
2024,309,Villanova,2,0,0,0,0,1,0,94,3.9,0,1.523,1.5,0.7,0.179,10,10,0.5
2024,327,Western Kentucky,2,0,0,0,0,0,0,105,3.9,0,1.478,1,0.5,0.244,8,8,0.5
2024,70,Colorado,10,0,0,0,0,0,0,98,3.7,0,1.519,1.2,0.5,0.273,13,7,0.65
2024,304,Le Moyne,3,0,1,0,0,0,0,94,3.7,0,1.601,1.5,0.6,0.196,9,7,0.563
2024,181,Western Illinois,6,0,0,0,0,0,2,82,3.6,0,1.509,1.1,0.4,0.226,13,5,0.722
2024,220,UMKC,5,0,0,0,0,1,0,91,3.6,0,1.516,1.3,0.6,0.227,10,6,0.625
2024,233,American University,4,0,0,0,0,2,0,84,3.6,0,1.56,1.3,0.6,0.202,10,8,0.556
2024,291,North Texas,3,0,0,0,0,0,0,84,3.6,0,1.453,1.2,0.7,0.213,10,8,0.556
2024,329,Rider,2,0,0,0,0,0,0,104,3.6,0,1.519,1.2,0.6,0.257,12,8,0.6
2024,68,Washington State,10,0,0,0,0,0,0,90,3.5,0,1.454,1.2,0.4,0.237,14,6,0.7
2024,167,Nebraska,6,0,0,0,0,0,0,88,3.5,0,1.561,1.4,0.6,0.226,12,8,0.6
2024,33,Clemson,13,1,0,0,0,1,0,90,3.4,0,1.5,1.4,0.5,0.262,11,9,0.55
2024,83,Florida,9,0,0,0,0,0,2,105,3.4,0,1.488,1.4,0.6,0.261,11,7,0.611
2024,117,Furman,8,0,0,0,0,0,0,100,3.4,0,1.578,1.5,0.7,0.225,10,8,0.556
2024,205,Saint Peter's,5,0,0,0,0,1,0,89,3.4,0,1.511,1,0.7,0.272,12,8,0.6
2024,323,UC Davis,2,0,0,0,0,2,1,95,3.4,0,1.532,1,0.7,0.311,14,6,0.7
2024,109,Northern Kentucky,8,1,0,0,0,2,0,99,3.2,0,1.49,1,0.7,0.254,12,8,0.6
2024,203,Seattle,5,0,0,0,0,0,0,88,3.2,0,1.494,1,0.4,0.245,11,9,0.55
2024,262,UNLV,4,0,0,0,0,0,0,86,3.2,0,1.479,1.1,0.5,0.277,12,6,0.667
2024,172,Tarleton State,6,1,0,0,0,3,1,88,3.1,0,1.497,1.3,0.9,0.246,16,4,0.8
2024,276,Belmont,3,0,0,0,0,0,0,96,3.1,0,1.555,1.3,0.6,0.227,12,8,0.6
2024,19,Bryant,15,0,1,0,0,0,2,101,3,0,1.501,1.3,0.6,0.228,11,5,0.688
2024,133,Colorado State,7,0,0,0,0,0,0,82,3,0,1.645,1.7,0.6,0.232,10,8,0.556
2024,353,North Florida,1,0,0,0,0,0,1,93,3,0,1.437,1.2,0.5,0.239,9,7,0.563
2024,210,Baylor,5,0,0,0,0,0,0,102,2.9,0,1.533,1.2,0.6,0.314,11,7,0.611
2024,89,North Dakota,9,0,0,0,0,1,0,99,2.8,0,1.408,1.2,0.8,0.231,10,6,0.625
2024,300,VCU,3,0,0,0,0,0,0,95,2.8,0,1.573,1.3,0.6,0.263,11,7,0.611
2024,168,Lehigh,6,0,0,0,0,1,0,94,2.7,0,1.511,1.2,0.6,0.269,9,9,0.5
2024,337,Stony Brook,1,0,0,0,0,0,0,93,2.7,0,1.462,1.4,0.6,0.228,10,8,0.556
2024,284,Green Bay,3,0,0,0,0,0,0,88,2.6,0,1.55,1.3,0.4,0.225,13,7,0.65
2024,302,George Mason,3,0,0,0,0,0,0,92,2.6,0,1.46,1,0.5,0.28,9,9,0.5
2024,121,St. Bonaventure,7,0,0,0,0,2,1,99,2.5,0,1.465,1.2,0.6,0.271,9,9,0.5
2024,226,Bucknell,5,0,0,0,0,0,0,86,2.5,0,1.526,1.2,0.6,0.19,10,8,0.556
2024,313,South Carolina State,2,0,0,0,0,0,0,78,2.5,0,1.578,1,0.5,0.273,9,5,0.643
2024,36,Kansas,12,2,0,1,0,2,2,90,2.4,0,1.626,1.6,0.7,0.24,10,8,0.556
2024,169,Michigan State,6,0,0,0,0,2,0,92,2.4,0,1.564,1.8,0.8,0.187,10,10,0.5
2024,69,Northwestern,10,0,0,0,0,1,0,96,2.3,0,1.581,1.9,0.8,0.243,12,8,0.6
2024,142,Wisconsin,7,0,0,0,0,1,0,91,2.3,0,1.476,1.3,0.6,0.26,11,9,0.55
2024,18,Louisiana,15,1,0,0,0,2,1,88,2.2,0,1.429,1,0.7,0.227,10,8,0.556
2024,94,Charlotte,8,1,0,0,0,0,1,84,2.2,0,1.543,1.4,0.5,0.296,13,5,0.722
2024,107,Texas Tech,8,0,0,0,0,2,0,90,2.2,0,1.558,1.4,0.6,0.257,11,7,0.611
2024,138,Florida Gulf Coast,7,0,0,0,0,0,0,90,2.2,0,1.432,1.2,0.6,0.191,8,8,0.5
2024,311,Winthrop,2,0,0,0,0,0,0,96,2.2,0,1.433,0.9,0.5,0.362,8,8,0.5
2024,118,Stetson,8,0,0,0,0,0,0,87,2.1,0,1.446,1.2,0.6,0.238,11,5,0.688
2024,193,Austin Peay,5,0,0,0,0,1,0,95,2.1,0,1.4,1.5,0.8,0.249,10,6,0.625
2024,272,Mount St. Mary's,3,0,0,0,0,1,0,96,2.1,0,1.474,0.9,0.5,0.197,9,11,0.45
2024,39,Milwaukee,12,0,0,0,0,0,1,96,2,0,1.504,1.1,0.4,0.249,12,8,0.6
2024,333,Pittsburgh,2,0,1,0,0,1,1,90,1.9,0,1.498,1.5,0.7,0.199,12,8,0.6
2024,344,Lafayette,1,0,0,0,0,0,1,90,1.9,0,1.549,1.4,0.6,0.178,10,8,0.556
2024,151,Howard,6,0,0,0,0,0,0,90,1.8,0,1.607,1,0.4,0.349,9,5,0.643
2024,13,UAB,16,1,0,1,0,1,1,100,1.7,0,1.512,1.1,0.5,0.291,12,6,0.667
2024,51,Seton Hall,11,2,0,0,0,2,2,94,1.7,0,1.468,1,0.6,0.246,13,7,0.65
2024,101,Nicholls State,8,1,0,0,0,3,2,98,1.7,0,1.486,1,0.5,0.285,13,5,0.722
2024,106,Utah Valley,8,1,0,0,0,4,2,84,1.7,0,1.614,1.3,0.6,0.248,11,9,0.55
2024,206,Bethune-Cookman,5,0,0,0,0,0,0,98,1.7,0,1.524,1,0.7,0.328,11,7,0.611
2024,192,Niagara,5,0,0,0,0,0,0,96,1.6,0,1.498,1.1,0.6,0.296,11,9,0.55
2024,281,Murray State,3,0,0,0,0,0,0,85,1.6,0,1.421,1.2,0.7,0.196,9,11,0.45
2024,310,Marist,2,0,0,0,0,0,0,83,1.6,0,1.53,1,0.5,0.231,12,8,0.6
2024,74,Montana State,9,0,0,0,0,5,0,104,1.5,0,1.49,1.2,0.8,0.238,9,9,0.5
2024,197,Jackson State,5,0,0,0,0,1,1,89,1.5,0,1.44,1,0.6,0.262,11,7,0.611
2024,29,Delaware,13,0,0,0,0,0,0,90,1.4,0,1.484,1.2,0.5,0.205,10,8,0.556
2024,269,Kent State,4,0,0,0,0,0,2,90,1.4,0,1.518,1.3,0.6,0.208,8,10,0.444
2024,5,Utah,18,3,1,0,0,0,1,99,1.3,0,1.589,1.5,0.5,0.153,9,11,0.45
2024,86,Iona,9,0,0,0,0,2,0,94,1.3,0,1.564,1.7,1,0.191,10,10,0.5
2024,204,Texas,5,0,0,0,0,0,0,94,1.3,0,1.56,1.4,0.7,0.224,9,9,0.5
2024,260,Monmouth,4,0,0,1,0,0,2,88,1.3,0,1.479,1.5,0.8,0.207,10,8,0.556
2024,322,Liberty,2,0,0,0,0,0,0,88,1.3,0,1.561,1.3,0.5,0.202,7,9,0.438
2024,326,South Carolina,2,0,0,0,0,0,0,93,1.3,0,1.624,1.6,0.5,0.214,13,5,0.722
2024,336,Virginia Tech,2,0,0,0,0,0,0,91,1.3,0,1.547,1.4,0.5,0.231,10,10,0.5
2024,95,Washington,8,0,0,0,0,0,1,98,1.2,0,1.497,1.4,0.5,0.222,9,11,0.45
2024,176,Hawaii,6,0,0,0,0,1,0,94,1.2,0,1.467,1,0.4,0.284,11,9,0.55
2024,227,Central Michigan,5,0,0,1,0,1,0,84,1.2,0,1.462,1.1,0.5,0.196,12,6,0.667
2024,287,TCU,3,0,0,0,0,2,0,105,1.2,0,1.593,1.4,0.7,0.249,9,9,0.5
2024,235,Gardner-Webb,4,0,0,0,0,2,0,85,1.1,0,1.501,1.2,0.5,0.237,11,5,0.688
2024,345,Brigham Young,1,0,0,0,0,0,0,90,1.1,0,1.598,1.4,0.5,0.208,10,8,0.556
2024,307,UTEP,2,0,0,0,0,2,0,93,1,0,1.503,0.9,0.9,0.24,7,9,0.438
2024,73,UMBC,10,0,0,0,0,0,1,114,0.9,0,1.42,1.1,0.4,0.163,6,10,0.375
2024,42,SIU-Edwardsville,12,1,0,0,0,2,0,91,0.8,0,1.452,1.1,0.7,0.216,9,9,0.5
2024,241,Wagner,4,0,0,0,0,1,0,80,0.8,0,1.591,1.5,0.6,0.201,7,9,0.438
2024,15,Bowling Green,16,0,0,0,0,1,0,92,0.7,0,1.451,1.1,0.6,0.273,10,8,0.556
2024,145,Northern Iowa,7,0,0,0,0,0,0,91,0.7,0,1.469,1.3,0.7,0.272,12,8,0.6
2024,144,Oregon,7,1,0,0,0,1,1,89,0.6,0,1.505,1.4,0.7,0.218,12,8,0.6
2024,171,Delaware State,6,1,0,0,0,2,0,85,0.6,0,1.503,0.9,0.6,0.306,6,8,0.429
2024,254,Stephen F. Austin,4,0,0,0,0,1,0,92,0.6,0,1.48,0.8,0.5,0.315,10,10,0.5
2024,301,Duquesne,3,0,0,0,0,1,1,85,0.6,0,1.549,1.1,0.6,0.224,10,8,0.556
2024,360,Miami (OH),0,0,0,0,0,0,0,88,0.6,0,1.59,1.4,0.6,0.215,9,9,0.5
2024,154,Virginia,6,1,0,0,0,1,4,84,0.5,0,1.616,1.9,0.8,0.15,13,7,0.65
2024,14,Southeastern Louisiana,16,1,0,0,0,1,2,81,0.3,0,1.62,1.1,0.5,0.273,10,8,0.556
2024,125,Brown,7,0,0,0,0,1,0,89,0.3,0,1.539,1.3,0.5,0.204,8,6,0.571
2024,265,Cincinnati,4,0,0,0,0,1,1,92,0.3,0,1.506,1,0.5,0.195,7,11,0.389
2024,105,California Baptist,8,0,0,0,0,0,0,91,0.2,0,1.486,1,0.3,0.243,8,12,0.4
2024,124,Queens University,7,0,0,0,0,2,2,96,0.1,0,1.427,1.2,0.7,0.255,7,9,0.438
2024,150,Idaho State,7,0,0,0,0,1,1,88,0.1,0,1.48,1.3,0.7,0.258,7,11,0.389
2024,53,Ball State,11,0,0,0,0,3,1,87,0,0,1.516,1.1,0.5,0.305,7,11,0.389
2024,27,Providence,14,0,0,0,0,0,0,100,-0.1,0,1.548,1.3,0.6,0.232,10,10,0.5
2024,45,Mississippi State,12,0,0,0,0,2,0,89,-0.1,0,1.503,1.1,0.6,0.225,8,10,0.444
2024,239,Alabama A&M,4,0,0,0,0,0,2,80,-0.1,0,1.47,0.7,0.5,0.353,9,9,0.5
2024,312,Northwestern State,2,0,0,0,0,0,0,97,-0.1,0,1.487,0.9,0.5,0.282,7,11,0.389
2024,317,North Alabama,2,0,0,0,0,0,0,90,-0.1,0,1.394,1.2,0.5,0.271,8,8,0.5
2024,359,Boston University,0,0,0,0,0,0,0,94,-0.1,0,1.566,1.3,0.7,0.234,10,8,0.556
2024,108,Texas A&M,8,0,1,0,0,2,0,97,-0.2,0,1.431,1.1,0.7,0.264,9,9,0.5
2024,216,Xavier,5,1,1,0,0,0,2,98,-0.2,0,1.564,1.4,0.6,0.235,9,11,0.45
2024,248,Saint Joseph's,4,0,0,0,0,1,0,89,-0.2,0,1.507,1.3,0.7,0.243,9,9,0.5
2024,170,UC Riverside,6,0,0,0,0,0,0,88,-0.3,0,1.494,1.3,0.6,0.209,10,10,0.5
2024,217,Fairleigh Dickinson,5,0,0,0,0,2,0,93,-0.3,0,1.594,1.2,0.7,0.245,9,7,0.563
2024,280,Alabama State,3,0,0,0,0,2,0,87,-0.3,0,1.433,0.9,0.8,0.222,8,10,0.444
2024,20,Long Beach State,14,0,0,1,0,0,0,89,-0.4,0,1.579,1.2,0.6,0.284,10,10,0.5
2024,75,Maine,9,0,0,0,0,3,1,81,-0.4,0,1.478,1.1,0.7,0.212,7,9,0.438
2024,242,Ohio State,4,0,0,0,0,1,3,84,-0.5,0,1.488,1.2,0.5,0.261,9,11,0.45
2024,25,Maryland,14,1,0,0,0,0,2,81,-0.6,0,1.447,0.9,0.5,0.281,7,13,0.35
2024,149,Cleveland State,7,0,0,0,0,2,0,99,-0.6,0,1.501,1.5,0.8,0.207,11,9,0.55
2024,245,Florida State,4,0,0,0,0,1,0,92,-0.7,0,1.425,1,0.8,0.247,10,10,0.5
2024,240,Western Michigan,4,0,0,0,0,0,0,95,-0.8,0,1.501,1.1,0.4,0.193,9,9,0.5
2024,261,Wofford,4,0,0,0,0,0,0,91,-0.8,0,1.57,1.5,0.5,0.164,10,8,0.556
2024,355,Mercer,1,0,0,0,0,0,0,90,-0.8,0,1.493,1.3,0.6,0.18,8,10,0.444
2024,191,Tennessee State,5,0,0,0,0,1,2,90,-1.1,0,1.473,0.8,0.4,0.31,10,8,0.556
2024,212,Morgan State,5,0,0,0,0,0,0,89,-1.1,0,1.466,0.9,0.5,0.299,7,7,0.5
2024,268,Longwood,4,0,0,0,0,0,0,84,-1.1,0,1.461,1,0.5,0.268,6,10,0.375
2024,290,Davidson,3,0,0,0,0,0,2,84,-1.1,0,1.506,1.3,0.6,0.231,5,13,0.278
2024,335,UC Santa Barbara,2,0,0,0,0,0,0,97,-1.1,0,1.485,1,0.4,0.302,9,11,0.45
2024,85,Arkansas-Pine Bluff,9,0,0,0,0,0,0,99,-1.2,0,1.579,1.1,0.4,0.313,8,10,0.444
2024,127,Georgia State,7,1,0,0,0,2,0,91,-1.3,0,1.398,1.2,0.6,0.211,8,10,0.444
2024,178,Omaha,6,0,0,0,0,0,1,96,-1.3,0,1.39,1.3,0.7,0.283,7,9,0.438
2024,202,Kansas State,5,0,0,0,0,0,1,94,-1.3,0,1.566,0.9,0.4,0.283,8,10,0.444
2024,346,NC State,1,0,0,0,0,0,0,89,-1.3,0,1.448,1.2,0.7,0.233,9,11,0.45
2024,64,Iowa,10,1,0,0,0,0,1,94,-1.4,0,1.572,1.8,0.7,0.261,10,10,0.5
2024,249,Cal State Bakersfield,4,0,0,0,0,2,0,82,-1.4,0,1.417,0.9,0.6,0.251,8,12,0.4
