season,Team,bracket_region,round,champion_share,make_tournament,seed_tournament
2024,UConn,east,Champion ,1,TRUE,1
2024,Purdue,midwest,Finals,0.833333333,TRUE,1
2024,Alabama,west,Final Four,0.666666667,TRUE,4
2024,NC State,south,Final Four,0.666666667,TRUE,11
2024,Tennessee,midwest,Elite Eight,0.5,TRUE,2
2024,Duke,south,Elite Eight,0.5,TRUE,4
2024,Illinois,east,Elite Eight,0.5,TRUE,3
2024,Clemson,west,Elite Eight,0.5,TRUE,6
2024,Gonzaga,midwest,Sweet Sixteen,0.333333333,TRUE,5
2024,Arizona,west,Sweet Sixteen,0.333333333,TRUE,2
2024,Houston,south,Sweet Sixteen,0.333333333,TRUE,1
2024,North Carolina,west,Sweet Sixteen,0.333333333,TRUE,1
2024,Creighton,midwest,Sweet Sixteen,0.333333333,TRUE,3
2024,Marquette,south,Sweet Sixteen,0.333333333,TRUE,2
2024,San Diego State,east,Sweet Sixteen,0.333333333,TRUE,5
2024,Iowa State,east,Sweet Sixteen,0.333333333,TRUE,2
2024,James Madison,south,Round of 32,0.166666667,TRUE,12
2024,Grand Canyon,west,Round of 32,0.166666667,TRUE,12
2024,Yale,east,Round of 32,0.166666667,TRUE,13
2024,Dayton,west,Round of 32,0.166666667,TRUE,7
2024,Utah State,midwest,Round of 32,0.166666667,TRUE,8
2024,Oakland,south,Round of 32,0.166666667,TRUE,14
2024,Colorado,south,Round of 32,0.166666667,TRUE,10
2024,Washington State,east,Round of 32,0.166666667,TRUE,7
2024,Baylor,west,Round of 32,0.166666667,TRUE,3
2024,Michigan State,west,Round of 32,0.166666667,TRUE,9
2024,Kansas,midwest,Round of 32,0.166666667,TRUE,4
2024,Northwestern,east,Round of 32,0.166666667,TRUE,9
2024,Texas,midwest,Round of 32,0.166666667,TRUE,7
2024,Duquesne,east,Round of 32,0.166666667,TRUE,11
2024,Oregon,midwest,Round of 32,0.166666667,TRUE,11
2024,Texas A&M,south,Round of 32,0.166666667,TRUE,9
2024,Saint Mary's,west,Round of 64,0,TRUE,5
2024,McNeese State,midwest,Round of 64,0,TRUE,12
2024,Colgate,west,Round of 64,0,TRUE,14
2024,Auburn,east,Round of 64,0,TRUE,4
2024,Morehead State,east,Round of 64,0,TRUE,14
2024,Vermont,south,Round of 64,0,TRUE,13
2024,Indiana State,0,0,0,FALSE,0
2024,Appalachian State,0,0,0,FALSE,0
