Team,team_id,abrev
Abilene Christian,1,ACU
Air Force,2,AF
Akron,3,AKR
Alabama,4,UA
Alabama A&M,5,AAMU
Alabama St.,6,ALAST
Alabama State,6,ALAST
Albany,7,ALBNY
Albany (NY),7,ALBNY
Alcorn St.,8,ALCST
Alcorn State,8,ALCST
American,9,AMERU
American University,9,AMERU
Appalachian St.,10,APPST
Appalachian State,10,APPST
Arizona,11,ARZ
Arizona St.,12,ASU
Arizona State,12,ASU
Arkansas,13,ARK
Arkansas Little Rock,145,UALR
Arkansas Pine Bluff,15,UAPB
Arkansas St.,14,ARKST
Arkansas State,14,ARKST
Arkansas-Pine Bluff,15,UAPB
Army,16,USMA
Army West Point,16,USMA
Auburn,17,AUB
Austin Peay,18,APSU
Ball St.,19,BLLST
Ball State,19,BLLST
Baylor,20,BAYL
Bellarmine,21,BELL
Belmont,22,BLMNT
Bethune Cookman,23,BTHCK
Bethune-Cookman,23,BTHCK
Binghamton,24,BNGH
Birmingham Southern,367,BIRM
Birmingham-Southern,367,BIRM
Boise St.,25,BOISE
Boise State,25,BOISE
Boston College,26,BOS
Boston University,27,BSTN
Bowling Green,28,BGSU
Bowling Green State,28,BGSU
Bradley,29,BRDLY
Brigham Young,30,BYU
Brown,31,BRWN
Bryant,32,BRYNT
Bucknell,33,BUCK
Buffalo,34,BUFF
Butler,35,BTLR
BYU,30,BYU
Cal Baptist,41,CALBU
Cal Poly,36,POLY
Cal St. Bakersfield,37,CSUB
Cal St. Fullerton,38,CSFUL
Cal St. Northridge,39,CSUN
Cal State Bakersfield,37,CSUB
Cal State Fullerton,38,CSFUL
Cal State Northridge,39,CSUN
California,40,Cal
California Baptist,41,CALBU
Campbell,42,CAM
Canisius,43,CAN
Centenary,365,CCL
Centenary (LA),365,CCL
Central Arkansas,44,UCA
Central Connecticut,45,CCSU
Central Connecticut St.,45,CCSU
Central Connecticut State,45,CCSU
Central Michigan,46,CMU
Charleston,47,C of C
Charleston Southern,48,CHASO
Charlotte,49,CHAR
Chattanooga,50,CHATT
Chicago St.,51,CHIST
Chicago State,51,CHIST
Cincinnati,52,CINCY
Citadel,307,CTDL
Citadel,307,CTDL
Clemson,53,CLEM
Cleveland St.,54,CLEST
Cleveland State,54,CLEST
Coastal Carolina,55,CCU
Colgate,56,COLGT
College of Charleston,47,C of C
Colorado,57,COLO
Colorado St.,58,COLST
Colorado State,58,COLST
Columbia,59,COM
