Team,nickname,abbrev,conference,location,home_venue,season
Abilene Christian,Wildcats,ACU,WAC,"Abilene, TX",Moody Coliseum (Abilene),2024
Air Force,Falcons,AF,MWC,"Colorado Springs, CO",Clune Arena,2024
Akron,Zips,AKR,MAC,"Akron, OH",James A. Rhodes Arena,2024
Alabama,Crimson Tide,UA,SEC,"Tuscaloosa, AL",Coleman Coliseum,2024
Alabama A&M,Bulldogs,AAMU,SWAC,"Huntsville, AL",Event Center,2024
Alabama State,Hornets,ALAST,SWAC,"Montgomery, AL",Dunn-Oliver Acadome,2024
Albany,Great Danes,ALBNY,AM East,"Albany, NY",Broadview Center,2024
Alcorn State,Braves,ALCST,SWAC,"Lorman, MS",Davey L. Whitney Complex,2024
American University,Eagles,AMERU,Patriot,"Washington, DC",Bender Arena,2024
Appalachian State,Mountaineers,APPST,Sun Belt,"Boone, NC",George M. Holmes Convocation Center,2024
Arizona,Wildcats,ARZ,Pac-12,"Tucson, AZ",McKale Center,2024
Arizona State,Sun Devils,ASU,Pac-12,"Tempe, AZ",Desert Financial Arena,2024
Arkansas,Razorbacks,ARK,SEC,"Fayetteville, AR",Bud Walton Arena,2024
Arkansas State,Red Wolves,ARKST,Sun Belt,"Jonesboro, AR",First National Bank Arena,2024
Arkansas-Pine Bluff,Golden Lions,UAPB,SWAC,"Pine Bluff, AR",H.O. Clemmons Arena,2024
Army West Point,Black Knights,USMA,Patriot,"West Point, NY",Christl Arena,2024
Auburn,Tigers,AUB,SEC,"Auburn, AL",Neville Arena,2024
Austin Peay,Governors,APSU,A-Sun,"Clarksville, TN",F&M Bank Arena,2024
Ball State,Cardinals,BLLST,MAC,"Muncie, IN",John E. Worthen Arena,2024
Baylor,Bears,BAYL,Big 12,"Waco, TX",Foster Pavilion,2024
Bellarmine,Knights,BELL,A-Sun,"Louisville, KY",Freedom Hall,2024
Belmont,Bruins,BLMNT,MVC,"Nashville, TN",Curb Event Center Arena,2024
Bethune-Cookman,Wildcats,BTHCK,SWAC,"Daytona Beach, FL",Moore Gymnasium (FL),2024
